Domain,Area,Element,Months,Year,Value
Temperature change,World,Temperature change,January,1990,0.977
Temperature change,World,Temperature change,January,1991,0.582
Temperature change,World,Temperature change,January,1992,0.952
Temperature change,World,Temperature change,January,1993,0.723
Temperature change,World,Temperature change,January,1994,0.527
Temperature change,World,Temperature change,January,1995,1.224
Temperature change,World,Temperature change,January,1996,0.271
Temperature change,World,Temperature change,January,1997,0.567
Temperature change,World,Temperature change,January,1998,0.782
Temperature change,World,Temperature change,January,1999,1.019
Temperature change,World,Temperature change,January,2000,0.482
Temperature change,World,Temperature change,January,2001,0.817
Temperature change,World,Temperature change,January,2002,1.405
Temperature change,World,Temperature change,January,2003,1.378
Temperature change,World,Temperature change,January,2004,0.996
Temperature change,World,Temperature change,January,2005,1.16
Temperature change,World,Temperature change,January,2006,0.709
Temperature change,World,Temperature change,January,2007,2.067
Temperature change,World,Temperature change,January,2008,0.306
Temperature change,World,Temperature change,January,2009,1.062
Temperature change,World,Temperature change,January,2010,1.08
Temperature change,World,Temperature change,January,2011,0.689
Temperature change,World,Temperature change,January,2012,0.631
Temperature change,World,Temperature change,January,2013,1.12
Temperature change,World,Temperature change,January,2014,1.173
Temperature change,World,Temperature change,January,2015,1.475
Temperature change,World,Temperature change,January,2016,1.765
Temperature change,World,Temperature change,January,2017,1.768
Temperature change,World,Temperature change,January,2018,1.297
Temperature change,World,Temperature change,January,2019,1.702
Temperature change,World,Temperature change,January,2020,2.207
Temperature change,World,Temperature change,February,1990,0.771
Temperature change,World,Temperature change,February,1991,0.641
Temperature change,World,Temperature change,February,1992,0.787
Temperature change,World,Temperature change,February,1993,0.726
Temperature change,World,Temperature change,February,1994,-0.253
Temperature change,World,Temperature change,February,1995,1.707
Temperature change,World,Temperature change,February,1996,0.806
Temperature change,World,Temperature change,February,1997,0.791
Temperature change,World,Temperature change,February,1998,1.75
Temperature change,World,Temperature change,February,1999,1.737
Temperature change,World,Temperature change,February,2000,1.238
Temperature change,World,Temperature change,February,2001,0.607
Temperature change,World,Temperature change,February,2002,1.825
Temperature change,World,Temperature change,February,2003,0.905
Temperature change,World,Temperature change,February,2004,1.366
Temperature change,World,Temperature change,February,2005,0.814
Temperature change,World,Temperature change,February,2006,1.356
Temperature change,World,Temperature change,February,2007,1.198
Temperature change,World,Temperature change,February,2008,0.634
Temperature change,World,Temperature change,February,2009,1.103
Temperature change,World,Temperature change,February,2010,1.281
Temperature change,World,Temperature change,February,2011,0.538
Temperature change,World,Temperature change,February,2012,0.508
Temperature change,World,Temperature change,February,2013,1.317
Temperature change,World,Temperature change,February,2014,0.538
Temperature change,World,Temperature change,February,2015,1.662
Temperature change,World,Temperature change,February,2016,2.596
Temperature change,World,Temperature change,February,2017,1.898
